bidalert_user,tender_id,name_of_work,tender_category,tender_dept,tender_qty,tender_emd,emd_exemption,tender_ecv,state_name,location,apply_mode,source_site,gemdoclink,doclinks,closing_date
PALLAVI,GEM/2026/B/7273506,Facility Management Services - LumpSum Based - Agatti Airport; Housekeeping; Consumables to be prov,,Ministry of Civil Aviation - Airports Authority of India (AAI),1,,,,LAKSHADWEEP,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/9024957,https://bidplus.gem.gov.in/showbidDocument/9024957,2026-03-14 15:00:00
PALLAVI,GEM/2026/B/7273254,"Motor Insurance Service - 4 Wheeler, 6 wheeler; 1001 to 1500 CC, Above 2500 CC, above 5000 cc",,Ministry of Civil Aviation - Airports Authority of India (AAI),1,,,,LAKSHADWEEP,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/9024668,https://bidplus.gem.gov.in/showbidDocument/9024668,2026-03-16 10:00:00
PALLAVI,GEM/2026/B/7279515,"Paint white enamel,Paint terracota red,Paint signal red,Paint red oxide,Paint navy blue,Paint green",,Ministry of Defence - Department of Defence,290,,,,LAKSHADWEEP,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/9032004,https://bidplus.gem.gov.in/showbidDocument/9032004,2026-03-16 17:00:00
PALLAVI,GEM/2026/B/7330815,"Attendance register 4QR Formate will given seperately,Battery 1 5V AA Alkaline Panasonic,Binder cli",,Ministry of Defence - Department of Military Affairs,2310,,,,LAKSHADWEEP,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/9091309,https://bidplus.gem.gov.in/showbidDocument/9091309,2026-03-19 16:00:00
PALLAVI,GEM/2026/B/7340720,"International Thinner GTA 733,International 990 Signal Green,Interthane 990 Phb 000 A White,Nose Pl",,Ministry of Defence - Department of Defence,89,,,,LAKSHADWEEP,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/9103298,https://bidplus.gem.gov.in/showbidDocument/9103298,2026-03-21 13:00:00
PALLAVI,GEM/2026/B/7315477,"Cloth coated PVC,Thinner,Emery cloth Abrasive cloth IS grit 36,Lint free baniyan cloth,Cloth Hussai",,Ministry of Defence - Department of Defence,182,,,,LAKSHADWEEP,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/9073327,https://bidplus.gem.gov.in/showbidDocument/9073327,2026-03-24 17:00:00
PALLAVI,GEM/2026/B/7340863,"Broom Country,Cleaner white toilet or Harpic,Cloth Sponge,Cloth Stocknite Mutton Cloth,Feather broo",,Ministry of Defence - Department of Defence,2821,,,,LAKSHADWEEP,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/9103461,https://bidplus.gem.gov.in/showbidDocument/9103461,2026-03-31 16:00:00
PALLAVI,GEM/2026/B/7335024,Monthly Basis Cab & Taxi Hiring Services - SUV; 1200 Km x 240 Hrs; Local,,Ministry of Civil Aviation - Airports Authority of India (AAI),1,,,,LAKSHADWEEP,,Online,https://bidplus.gem.gov.in/,https://bidplus.gem.gov.in/showbidDocument/9096501,https://bidplus.gem.gov.in/showbidDocument/9096501,2026-04-02 10:00:00
